Date,Open,High,Low,Close,Volume
2015-05-19,43.9712,44.0493,43.6868,43.8162,3161320.4123923
2015-05-20,43.8676,43.9387,43.6799,43.7915,2566515.4511321
2015-05-21,43.8073,44.0403,43.6799,43.9475,2223725.4657377
2015-05-22,43.9209,43.9802,43.8162,43.8952,2043326.7918434
2015-05-26,43.671,43.6799,43.1832,43.3441,4411091.9170165
2015-05-27,43.3441,43.6957,43.2937,43.6285,3252665.5251111
2015-05-28,43.5584,43.7659,43.4755,43.7401,2028839.2850238
2015-05-29,43.7224,43.7323,43.3441,43.4567,3786295.2749721
2015-06-01,43.5584,43.593,43.1743,43.4755,5086995.3228256
2015-06-02,43.4024,43.8073,43.3185,43.6107,4257669.3514379
2015-06-03,43.6799,43.9209,43.5742,43.6542,3063181.6543772
2015-06-04,43.3441,43.3945,42.9343,43.1397,4393642.5064123
2015-06-05,42.9521,43.1457,42.7624,42.9422,3449836.1690516
2015-06-08,42.8988,43.0252,42.7792,42.7872,4570550.6906158
2015-06-09,42.9176,43.043,42.7624,42.8109,3038241.918202
2015-06-10,43.0696,43.4123,43.043,43.2582,3176171.4485994
2015-06-11,43.4024,43.4498,43.2414,43.3619,2164141.0751404
2015-06-12,43.2937,43.3105,43.0163,43.1052,2764107.3436109
2015-06-15,42.7941,43.0005,42.6144,42.8365,3908346.9758503
2015-06-16,42.7536,43.0874,42.7279,43.0598,2498228.6327997
2015-06-17,43.1457,43.3353,42.8277,43.2414,4122171.1136857
2015-06-18,43.4024,43.7135,43.3718,43.6019,4269028.8853375
2015-06-19,43.517,43.6799,43.3095,43.3095,4286618.0370433
2015-06-22,43.5416,43.5416,43.3432,43.4755,2296860.6927267
2015-06-23,43.4903,43.5416,43.2661,43.353,2610321.2486448
2015-06-24,43.2572,43.2849,42.7911,42.8,3641801.9632647
2015-06-25,42.8168,42.9758,42.6361,42.7664,2838039.4999261
2015-06-26,42.8503,42.9324,42.5413,42.6025,3369013.1562393
2015-06-29,42.2727,42.4139,41.5676,41.612,7190856.3397107
2015-06-30,41.9299,42.0929,41.6436,41.7394,7302844.6560378
2015-07-01,42.1532,42.172,41.8588,41.9734,6279157.0393757
2015-07-02,42.0317,42.1304,41.687,41.8411,5956982.9169392
2015-07-06,41.4965,41.8954,41.2654,41.4965,7460630.5868841
2015-07-07,41.4787,41.4965,40.6531,41.3622,7951955.23715
2015-07-08,41.053,41.1331,40.42,40.4526,8684303.9218529
2015-07-09,41.053,41.1014,40.5652,40.5751,5685116.6037078
2015-07-10,41.0333,41.2308,40.9276,41.1419,4410203.8521895
2015-07-13,41.4046,41.6377,41.3355,41.5942,3361938.0035065
2015-07-14,41.4688,41.9141,41.4688,41.8253,2834012.3233956
2015-07-15,41.8332,41.849,41.3958,41.4965,3554432.3836256
2015-07-16,41.4629,41.5152,41.2565,41.3958,5311696.9890216
2015-07-17,41.2654,41.376,40.894,41.1093,8403278.4907645
2015-07-20,41.1153,41.1153,40.6857,40.7666,5156348.4265205
2015-07-21,40.739,41.06,40.3953,40.5148,4010467.3426453
2015-07-22,40.4279,40.5475,40.2463,40.342,6831344.0024871
2015-07-23,40.5405,40.5405,39.6517,39.7545,5631438.8061964
2015-07-24,39.7475,39.7633,38.6326,38.8864,8419277.834285
2015-07-27,38.4796,38.92,38.359,38.4538,10754978.452333
2015-07-28,38.5151,39.3594,38.3234,39.2558,16680658.349889
2015-07-29,39.3159,39.6616,39.1254,39.5402,11112631.625335
2015-07-30,39.548,39.7999,39.5066,39.7386,6487372.2934288
2015-07-31,40.0142,40.0142,39.557,39.6349,5446525.8871493
2015-08-03,39.6004,39.7801,39.1165,39.3249,6613007.6447323
2015-08-04,39.3505,39.7218,39.3436,39.4977,7649018.8063719
2015-08-05,39.7801,40.1179,39.5658,39.6952,6766655.0112136
2015-08-06,39.6872,39.8334,39.4977,39.557,7087403.3693667
2015-08-07,39.2982,39.548,38.8765,39.0049,6783697.3499129
2015-08-10,39.3752,39.9865,39.1343,39.9628,6157775.6907387
2015-08-11,39.3347,39.5312,39.0582,39.2222,6784306.9451534
2015-08-12,38.9022,39.4186,38.7896,39.3654,7700494.1626075
2015-08-13,39.2478,39.4285,39.1165,39.2558,3510449.3781943
2015-08-14,39.2982,39.4719,39.1955,39.4374,2478298.3113332
2015-08-17,39.3436,39.6784,39.1679,39.6616,2953740.0689966
2015-08-18,39.5816,39.6517,39.3594,39.4018,3308609.5587491
2015-08-19,39.2044,39.2222,38.755,38.92,4969580.3937184
2015-08-20,38.677,38.7896,38.1872,38.1872,6734079.1326657
2015-08-21,37.9621,38.0302,37.255,37.255,14549694.647604
2015-08-24,35.0537,36.9696,33.9407,35.6946,32091503.485853
2015-08-25,36.2635,37.0417,35.0705,35.1318,15464867.223146
2015-08-26,35.8674,36.1568,35.272,36.0857,28573516.189104
2015-08-27,36.6624,37.574,36.6062,37.3932,13491802.864774
2015-08-28,37.2965,37.7428,37.1779,37.6085,7385159.2532176
2015-08-31,37.4693,37.6786,36.9873,37.4012,10433147.606951
2015-09-01,36.4175,36.8856,36.0374,36.2635,10421440.74553
2015-09-02,36.6989,36.8254,36.2181,36.78,8551791.8906857
